Version	1
Run name	C:\Users\Jenny\Desktop\David A\LSPR Lab 18\skalman_lspr.inr
Export time	2018-02-20 16:58
Pos1 sample	Label for Pos1
Pos2 sample	
Spectrometer integration time	3
Spectrometer sample averages	300
pos1-Centroid_x	pos1-Centroid_y	pos1-FWHM(wp)_x	pos1-FWHM(wp)_y	pos1-FWHM(lw*2)_x	pos1-FWHM(lw*2)_y	pos1-Ext@Peak_x	pos1-Ext@Peak_y	pos1-PeakPos_x	pos1-PeakPos_y	pos1-ExtDiff_x	pos1-ExtDiff_y
1.859375E0	7.553935E2	1.859375E0	2.089151E2	1.859375E0	2.294373E2	1.859375E0	6.275379E-1	1.859375E0	7.543680E2	1.859375E0	2.112408E-1
3.765625E0	7.553900E2	3.765625E0	2.089371E2	3.765625E0	2.295518E2	3.765625E0	6.274886E-1	3.765625E0	7.543574E2	3.765625E0	2.113499E-1
5.593750E0	7.553896E2	5.593750E0	2.087474E2	5.593750E0	2.293820E2	5.593750E0	6.273871E-1	5.593750E0	7.543548E2	5.593750E0	2.114136E-1
7.421875E0	7.553963E2	7.421875E0	2.086963E2	7.421875E0	2.291957E2	7.421875E0	6.273726E-1	7.421875E0	7.543690E2	7.421875E0	2.114230E-1
9.250000E0	7.554049E2	9.250000E0	2.088733E2	9.250000E0	2.295943E2	9.250000E0	6.275527E-1	9.250000E0	7.543746E2	9.250000E0	2.115584E-1
1.107813E1	7.553861E2	1.107813E1	2.081698E2	1.107813E1	2.287302E2	1.107813E1	6.272098E-1	1.107813E1	7.543530E2	1.107813E1	2.114644E-1
1.290625E1	7.553923E2	1.290625E1	2.081739E2	1.290625E1	2.286789E2	1.290625E1	6.271042E-1	1.290625E1	7.543613E2	1.290625E1	2.115779E-1
1.473438E1	7.553864E2	1.473438E1	2.083641E2	1.473438E1	2.289153E2	1.473438E1	6.271964E-1	1.473438E1	7.543477E2	1.473438E1	2.115253E-1
1.656250E1	7.553922E2	1.656250E1	2.079982E2	1.656250E1	2.284797E2	1.656250E1	6.270320E-1	1.656250E1	7.543654E2	1.656250E1	2.115335E-1
1.839063E1	7.553941E2	1.839063E1	2.078876E2	1.839063E1	2.284185E2	1.839063E1	6.269809E-1	1.839063E1	7.543644E2	1.839063E1	2.117077E-1
